time(ms),x_accel,y_accel,z_accel
13087.42,0.791214,-0.946136,0.390518
13116.964,0.87709,-0.734344,0.314606
13146.51,-0.514297,-1.010208,0.4478
13176.054,-1.905289,-2.418732,-0.207855
13205.596,0.522995,-1.058914,0.021805
13235.14,0.33992,-0.928726,0.582138
13264.685,0.022171,-0.049316,0.378693
13294.228,0.507782,-0.884369,0.663208
13323.772,0.369827,-1.496094,0.706039
13353.315,0.050339,-1.868973,0.590485
13382.857,0.171997,-1.289688,0.519226
13412.4,0.279861,-0.864014,0.409241
13441.939,0.309616,-0.658142,0.399918
13471.485,0.408035,-0.626984,0.370682
13501.029,0.476456,-0.502106,0.247192
13530.572,0.448486,-0.458984,0.233597
13560.116,0.129944,-0.351608,0.29332
13589.658,-0.047577,-0.366364,0.6362
13619.2,0.093765,-0.604034,0.48175
13648.745,0.598969,-0.837524,0.728897
13678.29,0.163635,-1.293427,0.651474
13707.83,0.044754,-1.092712,0.436401
13737.374,-0.009094,-1.654144,-0.317688
13766.92,-0.292542,-1.987076,-0.069397
13796.462,-0.097595,-1.547363,0.232208
13826.005,0.027573,-1.198227,0.200134
13855.547,-0.052139,-1.03598,0.207596
13885.091,-0.111755,-0.986801,0.167023
13914.634,-0.036606,-1.014633,0.207993
13944.177,-0.020584,-0.940659,0.252426
13973.719,-0.071106,-0.969849,0.166306
14003.263,-0.186295,-0.954498,0.154434
14032.802,-0.205078,-0.925858,0.085175
14062.343,-0.227325,-0.918701,0.062653
14091.888,-0.158218,-0.987808,0.161255
14121.431,0.00087,-0.962234,0.225677
14150.957,0.092178,-0.96875,0.22438
14180.519,-0.225662,-1.055832,0.215012
14210.062,-0.121109,-0.874481,0.261612
14239.606,-0.190735,-1.148804,0.473801
14269.145,0.524963,-1.270004,0.433685
14298.696,0.814804,-0.428955,0.637619
14328.24,0.700592,-1.550598,-0.004517
14357.781,-0.372421,-1.287857,2.571045
14387.324,-0.077423,-1.278717,-0.489487
14416.868,0.457687,-0.648346,0.487
14446.41,0.333847,-0.229752,0.42392
14475.962,0.2742,-0.846069,0.770737
14505.504,0.03653,-1.365295,0.656158
14535.047,0.168716,-1.760284,0.575974
14564.588,0.316299,-1.264175,0.495651
14594.132,0.281891,-0.852081,0.467468
14623.671,0.240448,-0.700058,0.446854
14653.218,0.334671,-0.557404,0.406525
14682.759,0.297714,-0.476334,0.271164
14712.304,0.269119,-0.290237,0.292175
