time (ms),x_accel,y_accel,z_accel
6972.634,0.727722,-0.32283,0.533432
7002.194,0.661179,-0.364136,0.812225
7031.743,0.411148,-0.65683,1.155441
7061.287,-0.519577,-0.950058,1.247299
7090.832,-0.062408,-1.0392,0.770737
7120.38,0.111145,-2.154434,1.110947
7149.929,0.391251,-1.395447,-0.478027
7179.474,0.030869,-1.109421,-0.419724
7209.024,-0.481079,-0.623657,-0.611237
7238.572,-0.886261,0.081619,-0.338409
7268.12,-0.990479,-1.040024,-0.521576
7297.667,-0.486588,-1.803589,-0.627457
7327.21,-0.022354,-2.541122,-0.414459
7356.757,0.400436,-2.124359,0.64003
7386.302,0.657654,-1.163254,1.289398
7415.85,0.565781,-2.206787,1.662842
7445.393,0.519196,-1.239624,1.317947
7474.938,3.315399,3.463974,2.543365
7504.482,-3.311539,-4.958801,-1.318573
7534.027,0.923904,0.086929,1.048828
7563.572,2.069153,0.467148,1.431061
7593.12,1.626312,-0.928299,1.396591
7622.667,0.734848,-1.089096,1.21286
7652.211,0.366745,-0.80896,0.811005
7681.759,0.581146,-0.610031,0.90918
7711.305,1.013748,-0.392242,0.53537
7740.849,0.860947,-0.677505,0.920074
7770.395,0.105545,-0.59877,1.244461
7799.939,-0.653732,-0.805786,1.118774
7829.486,-0.486908,-2.388336,1.246948
7859.033,0.257797,-1.378372,0.275314
7888.577,0.533066,-1.494476,-0.498489
7918.124,-0.033707,-1.080292,-0.528275
7947.661,-0.825394,-0.236252,-0.442886
7977.21,-1.316086,-0.402893,-0.692657
8006.755,-0.998459,-1.764923,-0.828476
8036.297,0.042557,-2.10585,-0.670319
8065.842,0.298752,-2.748062,0.001022
8095.388,0.14212,-1.658478,1.196487
8124.919,0.158737,-1.78334,1.560379
8154.484,0.633835,-1.236603,1.821411
8184.032,1.965118,2.249924,0.16124
8213.576,-0.349243,-6.716782,-0.628326
8243.123,1.257004,-0.090256,0.569183
8272.668,1.466705,0.431564,1.243561
8302.213,1.581284,-0.05777,1.448395
8331.759,1.228317,-1.049133,1.23793
8361.305,0.209549,-1.072678,0.873657
8390.853,0.418015,-0.866791,0.875412
8420.395,0.588837,-0.478134,0.663605
8449.941,1.095184,-0.521545,0.669998
8479.487,0.589325,-0.916641,1.071762
8509.035,-0.31076,-0.791183,1.257172
8538.579,-0.215607,-0.792603,0.794891
8568.12,-0.419922,-2.155045,1.276855
8597.671,0.307541,-1.197601,-0.251602
8627.216,0.361115,-1.299789,-0.533279
8656.763,-0.223053,-0.835968,-0.781769
8686.308,-0.891983,0.084488,-0.358795
8715.851,-1.086487,-0.944427,-0.856369
8745.392,-0.395935,-2.023117,-0.979187
8774.937,0.010345,-2.651108,-0.50563
8804.482,0.370224,-2.406982,0.617584
8834.027,0.498627,-1.069473,1.458557
8863.575,0.461472,-2.115616,1.70076
8893.118,1.086823,-0.288559,-0.038467
8922.663,1.571869,0.387192,1.76413
8952.209,0.400284,0.079437,3.026932
8981.755,1.252151,0.775055,1.453751
9011.3,2.065308,-0.554855,1.607651
9040.843,0.983887,-1.143967,1.657516
9070.387,0.466415,-0.53244,0.797516
9099.933,0.381393,-0.187271,0.917114
9129.479,0.825104,-0.24939,0.540298
9159.026,1.505768,-0.491104,0.471527
9188.572,0.544662,-0.959167,1.218002
9218.121,-0.800522,-0.7276,1.399094
9247.669,-0.367264,-1.438049,0.994583
9277.215,0.130539,-1.742783,1.181229
9306.761,0.686371,-1.361298,-0.552399
9336.302,0.32991,-1.302048,-0.910736
9365.854,-0.527496,-0.710617,-0.557404
9395.402,-1.031998,0.188965,0.087982
9424.948,-1.138382,-1.236969,-0.671417
9454.492,-0.264999,-2.108551,-0.93721
9484.035,0.444977,-3.08667,-0.479507
9513.557,0.182053,-2.110718,1.033768
9543.127,0.443634,-2.152405,1.677597
9572.67,0.553024,-1.192017,1.660126
9602.215,3.313705,3.430084,1.425751
9631.758,-2.092117,-7.852768,-0.758911
9661.303,1.220322,0.069977,0.800369
9690.844,1.496445,0.653275,1.510208
9720.387,2.157776,-1.304947,1.420853
9749.932,0.998322,-0.657532,1.304123
9779.478,0.428528,-0.541214,0.843597
9809.022,0.490234,-0.486679,0.803772
9838.566,0.971741,-0.253418,0.519882
9868.109,0.870972,-0.488007,0.799896
9897.65,0.284912,-0.585342,1.197174
9927.195,-0.563171,-0.840302,1.335541
9956.737,0.028656,-1.531738,1.156097
9986.281,0.170959,-1.590424,0.800644
10015.825,0.610489,-1.780853,-0.392166
10045.375,0.416092,-1.169693,-0.672913
10074.921,-0.649048,-0.546448,-0.742371
10104.47,-1.266235,0.253357,-0.203568
10134.015,-1.148178,-1.467392,-0.843323
10163.559,-0.206055,-2.172302,-0.78952
10193.101,0.085922,-3.054123,-0.072678
10222.647,0.197311,-1.991135,1.165222
10252.189,0.845596,-1.420044,1.396271
10281.734,0.407303,-1.31601,1.779938
10311.277,3.522537,3.958664,0.541412
10340.822,-1.97467,-7.758408,0.388382
10370.365,0.831131,0.093765,0.863434
10399.909,1.263672,0.793823,1.389893
10429.449,2.122955,-1.297501,1.443558
10458.991,1.096588,-0.78067,1.500626
10488.54,0.345703,-0.356827,0.835434
10518.087,0.462708,-0.32843,0.875305
10547.629,0.838638,-0.257248,0.482986
10577.181,1.351364,-0.439224,0.643646
10606.68,0.443008,-0.699829,1.281967
10636.226,-0.699844,-0.798676,1.498734
10665.773,-0.118591,-0.953201,0.953308
10695.319,0.010132,-2.17131,1.288986
10724.858,0.740677,-1.500977,-0.41153
10754.404,0.571198,-1.231201,-0.564926
10783.947,-0.396667,-0.709854,-0.729584
10813.493,-1.345169,0.268448,-0.140686
10843.04,-1.051147,-1.325653,-1.004974
10872.585,-0.091797,-2.209198,-1.101654
10902.126,0.370132,-3.086761,-0.47847
10931.675,-0.093277,-1.888367,1.206573
10961.222,0.146866,-2.818436,1.918762
10990.768,0.798752,-0.80217,1.580902
11020.312,6.254669,3.627869,1.906052
11049.856,-5.681549,-4.02301,-0.675064
11079.398,1.215393,-0.157516,0.34729
11108.946,1.360153,0.337845,1.216766
11138.492,2.144241,0.13269,1.453812
11168.037,0.985764,-1.509354,1.301712
11197.582,0.551956,-0.806793,1.103424
11227.126,0.415131,-0.59996,1.101624
11256.664,1.031723,-0.349182,0.78653
11286.214,1.625153,-0.71608,0.470093
11315.758,0.444305,-0.729218,1.339294
11345.303,-0.619095,-0.791,1.362213
11374.851,-0.803558,-2.060944,1.63652
11404.399,0.005753,-1.193039,0.590515
11433.945,0.559616,-1.644516,-0.529587
11463.494,0.680252,-1.306366,-0.534531
11493.042,-0.205658,-0.617355,-0.9086
11522.584,-1.603256,0.38266,-0.266098
11552.131,-1.402283,-1.253036,-0.783875
11581.676,-0.361893,-2.052811,-0.902802
11611.222,-0.152084,-2.854736,-0.583755
11640.765,0.330811,-2.42305,0.908676
11670.312,0.400635,-1.111359,1.424561
11699.857,0.919739,-1.445923,1.460617
11729.403,2.63797,2.113007,-0.519562
11758.951,-0.275864,-3.934494,0.645233
11788.497,1.125946,-0.178589,0.38266
11818.043,0.890427,0.134964,1.07782
11847.589,2.254608,0.192657,1.290329
11877.13,1.01503,-1.306366,1.48584
11906.676,0.572449,-0.436462,1.259933
11936.222,0.535797,-0.469162,0.931442
11965.768,1.051575,-0.465729,0.78775
11995.315,1.32663,-0.671021,0.459305
12024.832,0.440109,-0.793365,1.155319
12054.405,-0.673386,-0.824631,1.199951
12083.95,-0.280411,-1.044067,1.014252
12113.496,-0.106461,-2.032349,0.92009
12143.043,0.730865,-1.60257,-0.409302
12172.59,0.448181,-1.041718,-0.517883
12202.134,-0.610535,-0.749466,-0.704865
12231.681,-1.099014,0.077347,-0.276901
12261.223,-1.219376,-1.412857,-0.828201
12290.765,-0.325623,-2.33287,-0.867172
12320.316,0.345367,-3.228119,-0.458176
12349.862,0.259384,-1.894547,1.099014
12379.407,0.292313,-2.372543,1.848984
12408.949,0.904083,-1.217285,1.682495
12438.494,3.097656,4.378998,2.521194
12468.021,-2.141052,-7.254501,-0.203232
12497.584,1.348206,-0.113892,0.900253
12527.127,1.550995,0.90036,1.625092
12556.673,1.084351,-1.561707,1.605179
12586.22,1.040527,-0.381454,1.504288
12615.765,0.924835,-0.434204,0.827362
12645.29,0.4655,-0.645187,1.093552
12674.859,0.89946,-0.261581,0.611725
12704.405,0.784332,-0.630783,0.834824
12733.949,0.28511,-0.695923,1.364365
12763.493,-0.340851,-0.990845,1.16893
12793.039,-0.836594,-3.317703,1.464066
12822.586,0.053955,-1.077469,0.115265
12852.133,0.396439,-1.410568,-0.39769
12881.68,0.259247,-1.094223,-0.626465
12911.227,-0.240646,-0.639923,-0.724991
12940.773,-1.009033,-0.207687,-0.161255
12970.312,-0.892349,-0.926117,-0.394852
12999.863,-0.622879,-1.843674,-0.857468
13029.405,0.091309,-2.882431,-0.388916
13058.948,0.026428,-2.532166,1.115494
13088.493,0.671051,-1.507111,1.612778
13118.037,0.635406,-1.32019,1.465515
13147.584,3.35463,2.519531,0.112167
13177.127,-3.232559,-7.765137,-0.253616
13206.67,1.454529,-0.228668,0.401291
13236.217,1.095596,0.577682,1.269714
13265.764,1.944656,-0.040237,1.393341
13295.314,1.033524,-1.291428,1.261597
