time (ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
12707.50512,0.122436523,1.029129028,0.181106567
12717.20013,0.066116333,0.947998047,0.313552856
12726.88012,0.030593872,0.893066406,0.385864258
12736.55912,0.024337769,0.877426147,0.338195801
12746.24012,0.06829834,0.924743652,0.226730347
12755.91913,0.118728638,0.957901001,0.105911255
12765.59812,0.146057129,0.962615967,-0.00138855
12775.27712,0.173171997,0.941848755,-0.074737549
12784.94912,0.222564697,0.907516479,-0.096008301
12794.63612,0.304519653,0.868438721,-0.09072876
12804.31612,0.353347778,0.822357178,-0.075027466
12813.97013,0.373886108,0.773956299,-0.067703247
12823.67712,0.378692627,0.741699219,-0.084716797
12833.35112,0.367034912,0.733398438,-0.143569946
12843.01112,0.370056152,0.743545532,-0.22164917
12852.71712,0.342422485,0.77722168,-0.284011841
12862.39612,0.256408691,0.871963501,-0.316436768
12872.06712,0.179412842,0.957839966,-0.286804199
12881.75412,0.132339478,1.009155273,-0.194488525
12891.43312,0.063217163,1.046035767,-0.090133667
12901.11313,0.006195068,1.064666748,0.013153076
12910.79413,-0.050430298,1.061416626,0.131668091
12920.47412,-0.078063965,1.062255859,0.248504639
12930.15512,-0.080886841,1.104782104,0.329727173
12939.83512,-0.068572998,1.199401855,0.335662842
12949.50113,-0.059387207,1.329666138,0.2525177
12959.19413,-0.046737671,1.413223267,0.109588623
12968.87412,0.003326416,1.444259644,-0.029037476
12978.55113,0.088760376,1.435760498,-0.119064331
12988.23313,0.167205811,1.350158691,-0.15612793
12997.91212,0.251373291,1.238464355,-0.099243164
13007.59112,0.323989868,1.206115723,-0.001739502
13017.27212,0.324630737,1.250991821,0.083770752
13026.95013,0.268890381,1.297607422,0.13117981
13036.62612,0.186523438,1.286117554,0.150115967
13046.30613,0.108917236,1.26776123,0.163864136
13055.98312,0.019760132,1.267700195,0.16973877
13065.64913,-0.039733887,1.272125244,0.178451538
13075.34013,-0.088088989,1.272247314,0.199707031
13085.02012,-0.150192261,1.268203735,0.211929321
13094.67712,-0.197891235,1.259521484,0.183258057
13104.36713,-0.188171387,1.24822998,0.12437439
13114.03312,-0.090087891,1.182189941,0.050537109
13123.72412,0.062927246,1.083343506,-0.008666992
13133.39712,0.216567993,1.09223938,-0.038574219
13143.06612,0.361434937,1.151596069,-0.071884155
13152.77312,0.496032715,1.217208862,-0.121124268
13162.45113,0.646408081,1.348083496,-0.187683105
13172.11912,0.748397827,1.455612183,-0.199386597
13181.78012,0.803512573,1.495056152,-0.219650269
