time(ms),x_accel,y_accel,z_accel
5730.916,-0.108582,-1.097519,0.138275
5760.457,-0.000504,-0.969666,0.127762
5790,-0.046432,-0.985123,0.235001
5819.542,-0.114182,-0.932083,0.211548
5849.083,-0.028427,-0.911789,0.16954
5878.627,-0.061157,-0.949341,0.187134
5908.169,-0.076492,-0.937363,0.222687
5937.706,-0.111816,-0.953323,0.265167
5967.247,-0.044876,-0.973618,0.255234
5996.786,0.068176,-1.019714,0.263748
6026.331,0.045151,-1.072952,0.39119
6055.871,0.24968,-1.027451,0.408585
6085.416,0.371872,-0.98291,0.5466
6114.961,0.241592,-0.9617,0.388565
6144.506,0.159088,-0.969818,0.364975
6174.052,-0.126572,-0.914856,0.133041
6203.594,-0.383698,-0.902023,0.043655
6233.139,-0.418213,-0.897415,0.018524
6262.683,-0.33284,-0.797821,0.13269
6292.228,-0.055298,-1.132431,0.185013
6321.771,0.268753,-0.940994,-0.26358
6351.315,-0.256622,-1.29718,0.406372
6380.856,-0.347946,-1.610611,-0.529785
6410.399,0.177811,-0.802139,0.443634
6439.882,0.084137,-0.775513,0.34436
6469.423,0.092834,-0.760345,0.199188
6498.969,0.047791,-0.814636,0.085739
6528.515,-0.050217,-0.826889,0.033615
6558.058,-0.131012,-0.866943,-0.023834
6587.601,-0.188263,-0.887619,-0.078522
6617.147,-0.205505,-0.918579,-0.103241
6646.694,-0.231445,-0.99762,-0.157593
6676.237,-0.208557,-0.946533,-0.185867
6705.783,-0.266846,-0.972168,-0.211929
6735.318,-0.258423,-1.006073,-0.195328
6764.877,-0.262787,-1.008759,-0.151764
6794.422,-0.279556,-1.044662,-0.110489
6823.968,-0.33606,-1.003693,-0.145355
6853.512,-0.461716,-0.963745,-0.221649
6883.054,-0.745804,-0.962799,-0.276672
6912.609,-0.75795,-1.05925,-0.31456
6942.154,-0.390671,-1.041702,-0.268982
6971.701,-0.17897,-0.984558,-0.198792
7001.247,-0.332016,-0.864517,-0.055603
7030.788,-0.431,-0.824615,0.024796
7060.324,-0.353683,-0.870895,0.074661
7089.871,0.015472,-0.890289,0.124359
7119.414,0.009979,-0.852341,0.22699
7148.958,-0.382324,-0.765701,0.52121
7178.499,-0.117691,-0.944305,0.424637
7208.041,0.299332,-1.131454,0.073196
7237.578,-0.017227,-1.166199,0.300613
7267.124,0.076187,-1.052841,0.225845
7296.668,0.210266,-1.025482,0.069473
7326.211,-0.02623,-0.974075,0.250229
7355.754,-0.067169,-1.005661,0.223175
7385.298,-0.285767,-0.953445,0.356171
7414.821,-0.193985,-1.033554,0.415955
7444.383,0.054367,-0.999283,0.262146
7473.926,0.219681,-0.936218,0.25293
7503.468,0.131409,-0.93187,0.243607
7533.008,-0.05751,-0.965363,0.33725
7562.551,-0.166443,-0.860443,0.402832
7592.088,-0.017334,-0.99501,0.347946
7621.64,0.064636,-0.934906,0.293701
7651.184,-0.012924,-0.957901,0.312943
7680.727,0.065186,-0.98735,0.260895
7710.27,0.144608,-0.981003,0.223679
7739.81,0.001083,-0.983429,0.245392
7769.351,0.017838,-0.960327,0.238205
7798.895,0.112778,-0.949387,0.231552
7828.434,0.03688,-0.990448,0.28392
7857.973,0.008179,-0.977982,0.205902
7887.513,-0.023743,-0.9384,0.22554
7917.053,0.006683,-0.99118,0.179169
7946.594,0.006119,-0.981369,0.173431
7976.136,-0.144302,-0.946136,0.152222
8005.679,-0.147934,-0.944595,0.156631
8035.223,0.049942,-1.024979,0.087143
8064.765,0.024048,-1.008896,0.152878
8094.305,-0.156448,-0.970932,0.14473
8123.845,-0.360733,-0.924942,0.27771
8153.386,-0.131912,-0.927078,0.199402
8182.924,0.251343,-0.851166,0.095703
8212.465,-0.554047,-0.821625,-0.072113
8242.004,-0.095215,-1.756699,-0.59346
8271.542,-0.256531,-1.833099,0.242294
8301.078,0.268356,-1.443405,0.525269
8330.614,0.15509,-1.463974,0.392731
8360.154,0.236343,-1.345413,0.450378
8389.693,0.227036,-1.155457,0.357544
8419.232,0.24025,-1.097351,0.245316
8448.771,0.253983,-0.753372,0.207977
8478.311,0.107849,-0.621826,0.118912
8507.854,0.077164,-0.423813,0.130417
8537.397,0.055771,-0.336319,0.125916
8566.94,0.208023,-0.306015,0.22963
8596.483,0.476303,-0.423813,0.392792
8626.025,0.424057,-0.53244,0.736298
8655.567,0.243423,-0.369965,1.08873
8685.109,0.542908,-0.826935,0.621048
8714.647,0.787231,-0.617432,0.546036
8744.188,0.402405,-0.864441,0.505157
8773.725,0.487854,-1.053131,0.503723
8803.265,0.412476,-0.990677,0.338623
8832.809,0.298218,-0.906693,0.455902
8862.351,0.522461,-0.953079,0.413025
8891.891,0.25145,-0.948456,0.255508
8921.437,0.220718,-0.862106,0.267014
8950.976,0.19606,-0.945602,0.314011
8980.518,0.051941,-0.962677,0.288956
9010.059,0.090271,-0.837891,0.361008
9039.598,0.089813,-0.950729,0.313797
9069.139,-0.01944,-0.950684,0.296371
9098.68,0.08194,-0.950378,0.252487
9128.222,0.043869,-0.901245,0.290115
9157.757,-0.011154,-0.969162,0.194275
9187.301,0.02121,-0.953796,0.251663
9216.84,0.021164,-0.943985,0.262634
9246.378,0.039703,-0.919434,0.324265
9275.914,0.006256,-0.958145,0.331955
9305.451,0.028702,-0.900528,0.243408
9334.972,-0.065201,-0.928207,0.194824
9364.528,-0.009735,-0.980469,0.22551
9394.067,0.02774,-0.938477,0.244919
9423.608,0.00885,-0.912155,0.312012
9453.149,-0.015656,-0.858429,0.239792
9482.69,-0.027817,-0.881912,0.262924
9512.224,0.085205,-0.892868,0.263214
9541.768,0.205612,-0.88266,0.27655
9571.309,0.450897,-0.932861,0.215866
9600.848,0.315872,-0.964462,0.509308
9630.39,-0.283508,-1.218704,0.783005
9659.933,0.201797,-0.406494,0.94603
9689.472,0.750214,-0.701553,1.118698
9719.012,0.510269,-2.915558,0.275269
9748.551,0.062988,-1.731796,0.183334
9778.091,-0.933395,-0.62001,0.282318
