time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
2197.025875,-0.3800354,0.367889404,-0.014770508
2206.723875,-0.387756348,0.444458008,-0.106430054
2216.401875,-0.345352173,0.497238159,-0.141586304
2226.080875,-0.210510254,0.755477905,-0.058792114
2235.759875,-0.205993652,1.124694824,-0.485427856
2245.438875,-0.292221069,1.751235962,-0.647857666
2255.103875,-0.438140869,1.960861206,-0.073852539
2264.796875,-0.38911438,2.053512573,0.067840576
2274.476875,-0.715774536,1.893692017,0.126708984
2284.132875,-0.730392456,1.556442261,0.06980896
2293.828875,-0.609924316,1.387359619,0.080673218
2303.507875,-0.498336792,1.202865601,0.048461914
2313.171875,-0.464767456,1.099411011,-0.002975464
2322.851875,-0.395751953,0.989120483,-0.088394165
2332.531875,-0.348800659,0.899505615,-0.11328125
2342.213875,-0.286468506,0.664886475,-0.142501831
2351.892875,-0.246704102,0.578872681,-0.087677002
2361.572875,-0.355056763,0.616424561,-0.076034546
2371.268875,-0.483139038,0.71421814,-0.106704712
2380.948875,-0.529205322,0.782241821,-0.109313965
2390.629875,-0.543807983,0.756332397,-0.811553955
2400.308875,-0.632324219,0.784835815,0.010879517
2409.988875,-0.560668945,0.797180176,-0.290618896
2419.651875,-0.47505188,0.805679321,-0.202972412
2429.348875,-0.409622192,0.810089111,-0.133270264
2438.999875,-0.362426758,0.814407349,-0.119232178
2448.702875,-0.358535767,0.781768799,-0.100402832
2458.384875,-0.344345093,0.796783447,-0.130767822
2468.064875,-0.282669067,0.833099365,-0.211273193
2477.737875,-0.260299683,0.874359131,-0.237823486
2487.398875,-0.234786987,0.877120972,-0.181716919
2497.102875,-0.261291504,0.864212036,-0.113845825
2506.783875,-0.289550781,0.77684021,-0.037948608
2516.464875,-0.314147949,0.70475769,0.058792114
2526.145875,-0.350814819,0.702636719,0.092910767
2535.824875,-0.351531982,0.71647644,0.007247925
2545.505875,-0.332077026,0.715377808,-0.112838745
2555.181875,-0.323318481,0.72555542,-0.176422119
2564.868875,-0.327178955,0.739257813,-0.193359375
2574.549875,-0.312728882,0.762786865,-0.19190979
2584.202875,-0.293884277,0.811019897,-0.213943481
2593.912875,-0.272674561,0.859939575,-0.240386963
2603.593875,-0.260635376,0.864379883,-0.207275391
2613.264875,-0.24269104,0.846801758,-0.113510132
2622.954875,-0.228515625,0.868408203,-0.042160034
2632.634875,-0.225296021,0.829910278,0.007598877
2642.312875,-0.225982666,0.786102295,0.012252808
2651.991875,-0.124435425,0.550506592,-0.033981323
2661.671875,-0.107269287,0.449905396,-0.085250854
2671.351875,-0.033615112,0.496871948,-0.154220581
2681.033875,0.009185791,0.557678223,-0.118545532
2690.708875,0.094924927,0.703216553,-0.082077026
2700.395875,0.123779297,0.75402832,0.020889282
2710.075875,0.173797607,0.899185181,0.179611206
2719.730875,0.201507568,0.975692749,0.139846802
2729.432875,-0.027374268,0.73866272,-0.180648804
2739.113875,-0.00390625,0.698135376,-0.059875488
2748.784875,0.054138184,0.676818848,-0.090332031
2758.457875,0.088867188,0.641921997,-0.092102051
2768.155875,0.07093811,0.570205688,-0.031539917
2777.827875,0.076522827,0.471572876,-0.090698242
2787.498875,0.14074707,0.457748413,-0.16305542
2797.184875,0.188705444,0.459518433,-0.209701538
2806.858875,0.246017456,0.49597168,-0.249557495
2816.543875,0.298812866,0.50769043,-0.264129639
2826.230875,0.337921143,0.554824829,-0.240737915
2835.901875,0.79876709,3.255477905,-0.293212891
2845.584875,1.236038208,5.548217773,-0.187362671
2855.260875,0.886001587,4.061553955,-0.249084473
2864.946875,0.531097412,2.367080688,-0.270019531
2874.627875,0.302871704,1.344024658,-0.222732544
2884.312875,0.189254761,0.829452515,-0.136932373
2894.004875,0.168029785,0.566833496,-0.04888916
2903.622875,0.178756714,0.482086182,0.006988525
2913.287875,0.22883606,0.555023193,0.024871826
2922.982875,0.306686401,0.736785889,0.000320435
2932.659875,0.381256104,0.91569519,-0.051132202
2942.340875,0.441986084,1.029495239,-0.114608765
2952.021875,0.48777771,1.050338745,-0.176803589
2961.701875,0.520263672,1.018173218,-0.20942688
2971.366875,0.541870117,0.975158691,-0.204864502
2981.062875,0.546173096,0.94909668,-0.178253174
2990.743875,0.522567749,0.9271698,-0.142532349
3000.414875,0.460601807,0.892623901,-0.113204956
3010.102875,0.412063599,0.892364502,-0.085723877
3019.783875,0.370635986,0.894104004,-0.073532104
3029.463875,0.333587646,0.86378479,-0.07119751
3039.142875,0.321014404,0.750869751,-0.074813843
3048.823875,0.341445923,0.683456421,-0.100585938
3058.503875,0.441635132,0.806503296,-0.156738281
3068.185875,0.446136475,0.792877197,-0.175338745
3077.838875,0.41267395,0.824157715,-0.164428711
3087.546875,0.409469604,0.93296814,-0.165405273
3097.227875,0.415603638,1.035766602,-0.173782349
3106.891875,0.403823853,1.07875061,-0.174331665
3116.590875,0.385635376,1.114654541,-0.162368774
3126.270875,0.362609863,1.128417969,-0.130767822
3135.941875,0.336334229,1.118896484,-0.082107544
3145.617875,0.310043335,1.082138062,-0.026611328
3155.313875,0.29234314,1.04284668,0.038497925
3164.987875,0.283691406,1.008514404,0.076095581
3174.675875,0.286437988,0.979492188,0.083969116
3184.354875,0.304794312,0.958999634,0.056213379
3194.035875,0.336334229,0.952163696,0.003540039
3203.714875,0.362533569,0.94430542,-0.052642822
3213.392875,0.381759644,0.937332153,-0.096572876
3223.072875,0.395797729,0.935958862,-0.142807007
3232.732875,0.412094116,0.935897827,-0.181228638
3242.416875,0.425949097,0.931533813,-0.203796387
3252.109875,0.439590454,0.924804688,-0.210128784
3261.765875,0.445861816,0.910476685,-0.210769653
3271.442875,0.446578979,0.908126831,-0.209197998
3281.147875,0.440612793,0.911117554,-0.208450317
3290.820875,0.421417236,0.905761719,-0.201461792
3300.484875,0.38999939,0.892288208,-0.197387695
3310.168875,0.354049683,0.875930786,-0.196716309
3319.847875,0.3309021,0.857757568,-0.175094604
3329.530875,0.318649292,0.843170166,-0.165512085
3339.210875,0.299514771,0.811660767,-0.176254272
3348.894875,0.29776001,0.77381897,-0.164474487
3358.572875,0.313415527,0.748428345,-0.174072266
3368.270875,0.355133057,0.760955811,-0.199691772
3377.948875,0.405395508,0.820739746,-0.209671021
3387.631875,0.445999146,0.911132813,-0.20173645
3397.312875,0.473297119,0.984893799,-0.176132202
3406.969875,0.479263306,1.02911377,-0.154098511
3416.674875,0.473815918,1.045043945,-0.133636475
3426.355875,0.437438965,1.051712036,-0.12828064
3436.009875,0.367889404,1.041000366,-0.140914917
3445.717875,0.28187561,1.013381958,-0.172317505
3455.399875,0.195083618,1.026870728,-0.218460083
3465.072875,0.140380859,1.057693481,-0.237792969
3474.732875,0.066635132,1.103881836,-0.237991333
3484.439875,0.013549805,1.167480469,-0.213470459
3494.119875,-0.040466309,1.241928101,-0.15687561
3503.798875,-0.051101685,1.299850464,-0.12322998
3513.477875,-0.033752441,1.302886963,-0.119674683
3523.162875,-0.011856079,1.255477905,-0.139251709
3532.842875,0.027008057,1.18536377,-0.151565552
3542.498875,0.094207764,1.109680176,-0.142684937
3552.204875,0.166610718,1.037994385,-0.130599976
3561.883875,0.202301025,0.945388794,-0.124481201
3571.551875,0.255767822,0.888183594,-0.138900757
3581.245875,0.315689087,0.833312988,-0.150482178
3590.924875,0.365142822,0.787826538,-0.159072876
3600.595875,0.406524658,0.793212891,-0.167312622
3610.285875,0.424621582,0.836547852,-0.182098389
3619.967875,0.419967651,0.89302063,-0.165756226
3629.635875,0.401351929,0.92880249,-0.130401611
3639.330875,0.360549927,0.918548584,-0.080673218
3649.010875,0.300628662,0.91178894,-0.022781372
3658.694875,0.21647644,0.885559082,-0.00479126
3668.376875,0.157867432,0.863739014,-0.003753662
3678.027875,0.089752197,0.877746582,0.00932312
3687.735875,0.021591187,0.923965454,0.012969971
3697.416875,-0.017364502,0.975357056,0.016906738
3707.080875,-0.038635254,1.001296997,0.018829346
3716.779875,-0.020477295,1.004470825,0.03263855
3726.458875,0.014831543,0.985214233,0.019317627
3736.133875,0.052902222,0.953674316,-0.004592896
3745.821875,0.084671021,0.928543091,-0.020675659
3755.481875,0.10723877,0.910293579,-0.033111572
3765.160875,0.126037598,0.911468506,-0.031311035
3774.865875,0.145248413,0.92489624,-0.027114868
3784.546875,0.16796875,0.952270508,-0.018798828
3794.219875,0.179550171,0.975875854,-0.013641357
3803.894875,0.208724976,0.988540649,-0.016937256
3813.587875,0.2368927,0.985641479,-0.039154053
3823.250875,0.268936157,0.960708618,-0.068206787
3832.931875,0.300140381,0.943725586,-0.087768555
3842.607875,0.328063965,0.974243164,-0.12701416
3852.295875,0.330169678,1.056625366,-0.168945313
3861.976875,0.302658081,1.157363892,-0.192871094
3871.676875,0.24659729,1.240753174,-0.210922241
3881.335875,0.195724487,1.264678955,-0.22869873
3891.039875,0.188018799,1.238143921,-0.221008301
3900.715875,0.223144531,1.178482056,-0.133621216
3910.403875,0.272888184,1.127929688,-0.012619019
3920.085875,0.282150269,1.113296509,0.062713623
3929.759875,0.257369995,1.122772217,0.076599121
3939.448875,0.21031189,1.152282715,0.055969238
3949.128875,0.191665649,1.227340698,0.028244019
3958.789875,0.173736572,1.327545166,-0.012359619
3968.489875,0.151245117,1.391662598,-0.057723999
3978.170875,0.147171021,1.445831299,-0.074142456
3987.850875,0.17137146,1.471176147,-0.074081421
3997.531875,0.209396362,1.468383789,-0.077331543
4007.190875,0.288757324,1.439025879,-0.072372437
4016.892875,0.343170166,1.373641968,-0.047775269
4026.572875,0.363830566,1.290679932,-0.009887695
4036.242875,0.339889526,1.228424072,0.04083252
4045.933875,0.28326416,1.172576904,0.096343994
4055.614875,0.214416504,1.125930786,0.16204834
4065.293875,0.165878296,1.075531006,0.226577759
4074.974875,0.119369507,1.0262146,0.279220581
4084.643875,0.088348389,0.997268677,0.319335938
4094.326875,0.096237183,0.981964111,0.323959351
4104.013875,0.118804932,0.999298096,0.293777466
4113.689875,0.145858765,1.070922852,0.319564819
4123.372875,0.164657593,1.147171021,0.356933594
4133.051875,0.198989868,1.266937256,0.327545166
4142.710875,0.30696106,1.344314575,0.236816406
4152.412875,0.419494629,1.382202148,0.051895142
4162.066875,0.423248291,1.318588257,-0.150344849
4171.770875,0.39364624,1.183624268,-0.34526062
4181.452875,0.391387939,1.176040649,-0.403533936
4191.132875,0.311279297,1.253051758,-0.352111816
4200.793875,0.261444092,1.280822754,-0.213943481
4210.492875,0.163421631,1.411590576,-0.122497559
4220.174875,-0.015151978,1.626358032,-0.096832275
4229.846875,-0.14352417,1.500549316,0.284866333
4239.525875,-0.031204224,1.233566284,0.27003479
4249.217875,0.16166687,1.027633667,0.132629395
4258.899875,0.335159302,0.99609375,0.148040771
4268.556875,0.479171753,0.991775513,0.175079346
4278.247875,0.525894165,0.907424927,0.209671021
4287.942875,0.510879517,0.855072021,0.230529785
4297.622875,0.425262451,0.806182861,0.149078369
4307.300875,0.339874268,0.802856445,-0.00592041
4316.964875,0.231796265,0.913711548,-0.16267395
4326.647875,0.101150513,1.073425293,-0.026672363
4336.323875,0.024551392,1.126968384,0.089279175
4346.011875,0.017028809,1.056671143,0.066207886
4355.693875,0.016403198,0.917541504,0.184051514
4365.374875,0.019485474,0.763000488,0.201004028
4375.374875,0.017486572,0.625946045,0.265899658
4385.002875,0.032516479,0.513946533,0.362167358
4394.682875,0.08430481,0.431762695,0.344833374
4404.344875,0.126922607,0.395065308,0.309326172
4414.024875,0.11517334,0.385177612,0.311859131
4423.728875,0.109375,0.386306763,0.304550171
4433.411875,0.132858276,0.365783691,0.32875061
4443.075875,0.169631958,0.35949707,0.411239624
4452.757875,0.169845581,0.338119507,0.459396362
4462.438875,0.168609619,0.311340332,0.5340271
4472.137875,0.175735474,0.289855957,0.604873657
4481.817875,0.191925049,0.277816772,0.67427063
4491.497875,0.211288452,0.315582275,0.672531128
4501.153875,0.209594727,0.41015625,0.627883911
4510.858875,0.157699585,0.509689331,0.56552124
4520.542875,0.074157715,0.579971313,0.509887695
4530.224875,0.0415802,0.600219727,0.424865723
4539.899875,0.097183228,0.570648193,0.362930298
4549.588875,0.171310425,0.519989014,0.346481323
4559.270875,0.19468689,0.48147583,0.348983765
4568.931875,0.184020996,0.449142456,0.340866089
4578.633875,0.165206909,0.450485229,0.449645996
4588.313875,0.072677612,0.583450317,0.84854126
4597.981875,-0.018768311,0.898239136,1.205581665
4607.667875,-0.059524536,1.33694458,1.096923828
4617.347875,0.114562988,1.577133179,0.85710144
4627.021875,0.238128662,1.716766357,0.819381714
4636.702875,0.076339722,1.917144775,0.72303772
4646.381875,-0.062789917,1.841125488,0.371429443
4656.063875,-0.003326416,1.428390503,0.275497437
4665.743875,0.092483521,0.946853638,0.34677124
4675.424875,0.232727051,0.578826904,0.380508423
4685.106875,0.355224609,0.342803955,0.566345215
4694.787875,0.333526611,0.303207397,0.605773926
4704.460875,0.20916748,0.42906189,0.426986694
4714.150875,0.135360718,0.609100342,0.235015869
4723.832875,0.121002197,0.782485962,0.090744019
4733.512875,0.179351807,0.951248169,0.107925415
4743.196875,0.25718689,1.086257935,0.26222229
4752.877875,0.307876587,1.190811157,0.409423828
4762.547875,0.292449951,1.234451294,0.412597656
4772.237875,0.239471436,1.207946777,0.355285645
4781.913875,0.188461304,1.127532959,0.299621582
4791.593875,0.176345825,1.010574341,0.280273438
4801.281875,0.186386108,0.891738892,0.279281616
4810.961875,0.219329834,0.799255371,0.302322388
4820.641875,0.263214111,0.744613647,0.329040527
4830.312875,0.283782959,0.726837158,0.336196899
4839.988875,0.276397705,0.726730347,0.302825928
4849.683875,0.250137329,0.734542847,0.253448486
4859.364875,0.21005249,0.757141113,0.226989746
4869.039875,0.168365479,0.785400391,0.216415405
4878.725875,0.115356445,0.819046021,0.220123291
4888.404875,0.052963257,0.838180542,0.205123901
4898.054875,0.017211914,0.857147217,0.190414429
4907.753875,-0.022842407,0.894607544,0.139068604
4917.443875,-0.035003662,0.937240601,0.133331299
4927.104875,-0.023727417,0.985565186,0.153594971
4936.783875,-0.009857178,1.024963379,0.188232422
4946.464875,-0.00151062,1.0340271,0.226699829
4956.140875,-0.000869751,1.02281189,0.255050659
4965.824875,-0.000305176,0.990783691,0.274215698
4975.523875,0.005477905,0.953796387,0.28163147
